epoch,train_masked_mse,validation_masked_mse,learning_rate,seconds
1,0.46448339709762115,0.21135970532167248,0.001,9.753025999991223
2,0.2017442592971244,0.10191439092159271,0.001,9.92995219999284
3,0.11650219810899964,0.07319324431804622,0.001,10.168983999988995
4,0.0775769661905515,0.09275946452668528,0.001,13.511514099998749
5,0.06730185564429987,0.04041261497385255,0.001,12.417083599997568
6,0.043055069453952086,0.05399006820942571,0.001,12.09188659999927
7,0.04294449456115199,0.03484483485723414,0.001,15.155097800001386
8,0.03305531836996847,0.03788725890946097,0.001,19.941821999993408
9,0.03684501896460388,0.03224325134623342,0.001,17.029124500011676
10,0.02724848240865646,0.024690337098635187,0.001,18.506460100004915
11,0.02650047947478015,0.033363653937490974,0.001,18.428801599991857
12,0.035146108625966774,0.019707830563164885,0.001,18.511631500005024
13,0.02668991837502004,0.023782372514421984,0.001,19.132732800004305
14,0.022609357771733285,0.023162590055840045,0.001,17.993228699997417
15,0.023138431541464,0.015151206767413675,0.001,11.965228900007787
16,0.021978208524949975,0.015880542895302358,0.001,12.345272999998997
17,0.022877466953556594,0.021817762027040305,0.001,11.340193999989424
18,0.0244533504995993,0.015205690510877659,0.001,13.08834719999868
19,0.018360700305640937,0.015362945294416532,0.001,14.276901799996267
20,0.016872846855754582,0.014218355935044223,0.0005,14.161136499998975
21,0.012534288442541569,0.012665473492588938,0.0005,14.413430100001278
22,0.015002387158527765,0.012737462934526819,0.0005,13.558450299999095
23,0.015757915186134237,0.01966200480464755,0.0005,12.977805000002263
24,0.012944078442150042,0.015622050630598806,0.0005,13.645892399988952
25,0.01468815843949092,0.01163477050254076,0.0005,12.400079900005949
26,0.011979369362547425,0.016089003516088534,0.0005,12.97473680000985
27,0.01760367135248043,0.014048602184984924,0.0005,14.009369199993671
28,0.017228097974657842,0.017085848743856952,0.0005,12.612504799995804
29,0.016973172464120206,0.037819734178256334,0.0005,12.287676299994928
30,0.01930389947014816,0.01317592438526179,0.00025,12.942621599999256
31,0.010996237457161488,0.009257754722678261,0.00025,17.987769300001673
32,0.014906774432165548,0.008784120891061498,0.00025,20.842210999995586
33,0.011204058726005628,0.009796146841481237,0.00025,20.17479090001143
34,0.0130345871517061,0.009332223456046293,0.00025,18.812097799993353
35,0.013998532140905448,0.009958933133109495,0.00025,12.259813700002269
36,0.012172949866957921,0.010368224045988627,0.00025,12.014579399998183
37,0.0135666941870108,0.009077101353862574,0.000125,11.74713889999839
38,0.011324882315285292,0.009054743354038403,0.000125,11.879754399997182
39,0.011262053099123696,0.009440783144360998,0.000125,11.681956000000355
