epoch,train_masked_mse,validation_masked_mse,learning_rate,seconds
1,0.4626005369428045,0.18448986094899295,0.001,6.952256499993382
2,0.131536727389592,0.06303985662213187,0.001,7.333985799996299
3,0.0527044524949126,0.03350774511104313,0.001,6.454426099997363
4,0.03623108551719206,0.026319829940159873,0.001,6.5354510999895865
5,0.029208452765494077,0.019578177765829534,0.001,6.70828760000586
6,0.025923925210597356,0.02818528008533687,0.001,6.899858200005838
7,0.031238386963950794,0.022953995503485203,0.001,6.59580769999593
8,0.03303264123060761,0.037141737596290865,0.001,6.204812900003162
9,0.02401286949780215,0.021572621669847428,0.001,6.755111799997394
10,0.014007651823004829,0.013573874157240115,0.0005,6.61327159999928
11,0.015370705680106766,0.014873334456507752,0.0005,6.402097300000605
12,0.015975563721856736,0.011612661892729925,0.0005,6.390652200003387
13,0.013917443887343397,0.011671697005356958,0.0005,6.583541500003776
14,0.01257537449005452,0.012787079140430362,0.0005,6.358764100004919
15,0.013628907415155992,0.014092051367298132,0.0005,6.277775399998063
16,0.014719469145574659,0.010706815286539495,0.0005,6.758686700006365
17,0.014624073537261554,0.017159339100145166,0.0005,6.669414300005883
18,0.01578528290475778,0.016710009147617513,0.0005,7.135538100003032
19,0.013300940636445813,0.011715398561890895,0.0005,6.482794299998204
20,0.013165692793588866,0.010978278475416051,0.0005,5.940020499998354
21,0.008754736315140364,0.010550282100533567,0.00025,5.747980399988592
22,0.010723325708585906,0.009640470776059552,0.00025,6.119318299999577
23,0.010628448369040469,0.009329036883328383,0.00025,6.8243966000009095
24,0.010874703124142225,0.014382228769202967,0.00025,6.1630447000061395
25,0.011448774615985187,0.009714161518609106,0.00025,4.996171900012996
26,0.00983322830253256,0.009637641663685805,0.00025,4.936706799999229
27,0.010066278752793928,0.010129248352846267,0.00025,5.020264299993869
28,0.011871291245740842,0.009684463315529794,0.000125,5.461965400012559
29,0.009751036389964005,0.00948704497479811,0.000125,5.54188809999323
30,0.012892956214091662,0.00956678160653654,0.000125,5.314242199994624
