epoch,train_masked_mse,validation_masked_mse,learning_rate,seconds
1,0.42868276679831924,0.14757531926762768,0.001,4.172548100003041
2,0.14189290368875254,0.08335524206844772,0.001,4.030698299990036
3,0.07793384949058328,0.045101168156578775,0.001,3.7676627000037115
4,0.054821956223070484,0.07428737852449824,0.001,3.9620158999896375
5,0.04137937226723415,0.028987245656913373,0.001,4.283576700006961
6,0.03042448233396966,0.029859072528779507,0.001,4.018923800002085
7,0.028670638032404987,0.07479283815567814,0.001,4.708361500001047
8,0.026202499980623517,0.021194342001363997,0.001,4.216427300008945
9,0.021829433920508897,0.01696939297338448,0.001,4.587326300010318
10,0.018326035320712857,0.016620665124231358,0.001,4.359686100011459
11,0.01832586287346203,0.0165172359599482,0.001,4.647985700008576
12,0.015158687532418455,0.011760617373511195,0.001,4.806555899995146
13,0.017292655477092,0.01702172951999961,0.001,4.839199399997597
14,0.019088444090754678,0.012819140047834413,0.001,4.223516300000483
15,0.013740896994787609,0.011729069397693909,0.001,4.407311999995727
16,0.013034951724882553,0.013960857165795638,0.001,5.225515600002836
17,0.015985809585218523,0.013276044796107382,0.001,4.531418999991729
18,0.013203549227043193,0.016866428016616804,0.001,4.249877000009292
19,0.013745545063984585,0.011776545911277757,0.001,4.250179199996637
20,0.009113522486158591,0.009531020113017137,0.0005,4.543016299998271
21,0.0074275342720773645,0.009635230205476103,0.0005,3.994406199999503
22,0.008702672570227431,0.009134738231872821,0.0005,4.438242200005334
23,0.008859429726531405,0.008741805400903814,0.0005,4.24780230000033
24,0.008719818166481486,0.009407226558456697,0.0005,4.073114500002703
25,0.008385812907890136,0.008845017822572916,0.0005,3.719448099989677
26,0.007604768328287301,0.008757835489743186,0.0005,4.1403556000004755
27,0.008707352328488372,0.009559284219881746,0.0005,4.306262800004333
28,0.008603298671783565,0.007685566789516043,0.00025,4.185915199996089
29,0.007338426683906762,0.008530307359561869,0.00025,4.429939100009506
30,0.00878374653515183,0.0075626467559032325,0.00025,4.342679399996996
31,0.007076068374840387,0.00770472012539735,0.00025,4.125942300001043
32,0.008286046158755198,0.0069391746798007775,0.00025,4.336236099989037
33,0.0068552533139278286,0.007370621701361748,0.00025,4.321142200002214
34,0.007668195827221478,0.007950035224827687,0.00025,4.392776100008632
35,0.008036519325585136,0.00724602863618468,0.00025,4.216276799998013
36,0.0073624163670253685,0.007523620887318763,0.00025,4.390180799993686
37,0.007378072970073316,0.00696629197791037,0.000125,4.184071599986055
38,0.007043893064400849,0.00664186876454595,0.000125,4.320646199994371
39,0.0067696526427164505,0.006763631442459527,0.000125,4.219964699994307
40,0.006644650696379801,0.006675480316938241,0.000125,4.11916580000252
41,0.006833009560509336,0.006102459279468238,0.000125,4.2228904000076
42,0.006748358531662528,0.006222199454119929,0.000125,4.4183252999937395
43,0.005979265584938255,0.006202481469854985,0.000125,4.390764900002978
44,0.007094993150463293,0.0064457791414475295,0.000125,4.45979590000934
45,0.0063887919323677945,0.006268174611827041,0.000125,4.37613939998846
46,0.005945028658723138,0.00641818659056387,6.25e-05,4.030509099990013
47,0.007158621742612996,0.0064573250980707025,6.25e-05,4.29762519999349
48,0.006005010631067054,0.006215108747355549,6.25e-05,4.266492399998242
