epoch,train_masked_mse,validation_masked_mse,learning_rate,seconds
1,0.46286770736081,0.18387801390958997,0.001,37.87836580000294
2,0.13090907552650252,0.06142336434525687,0.001,35.95635500000208
3,0.0532790922094676,0.033533865336056165,0.001,37.47770260000834
4,0.035951636846157924,0.04202083048478859,0.001,31.467285099992296
5,0.03056959525888993,0.02260102637157571,0.001,21.808343400000012
6,0.028939674482029516,0.029160720807295745,0.001,23.939060899996548
7,0.028744352889529513,0.03984630715794771,0.001,27.046274200009066
8,0.03524356119075342,0.02360401224208678,0.001,24.753181500011124
9,0.021108403083615685,0.025202567933309005,0.001,24.53030639998906
10,0.014068216317717411,0.013674345472259673,0.0005,23.738321699987864
11,0.015742974001041146,0.013745713996042202,0.0005,24.58460269999341
12,0.017642209490585557,0.010832642273205082,0.0005,23.71345100000326
13,0.013854209635633802,0.011787101414861022,0.0005,32.86264669999946
14,0.012291103351469103,0.012863675234612168,0.0005,40.405063799989875
15,0.013476206399327903,0.011374512494246408,0.0005,26.31142739999632
16,0.014443357779121818,0.010619895468840785,0.0005,22.330463799997233
17,0.014296236431655496,0.017421711946088003,0.0005,22.187793200006126
18,0.015205273527944301,0.013766859155488996,0.0005,24.4621116000053
19,0.012935332732055993,0.012346544717552095,0.0005,23.680889100010972
20,0.013492459196816473,0.011368274285526173,0.0005,23.699311100004707
21,0.00843405781598388,0.010200755192228116,0.00025,21.743379699997604
22,0.010932213178783415,0.009310430470888116,0.00025,22.929951900005108
23,0.010460377330511772,0.00892563913977228,0.00025,22.62701699999161
24,0.010977864382784301,0.013903642122963125,0.00025,23.010517699993216
25,0.011521528498385888,0.01038254275719249,0.00025,23.55328649999865
26,0.009801077641555444,0.009478592996701325,0.00025,23.833062099991366
27,0.009980875683292159,0.009752512839906736,0.00025,38.60092130000703
28,0.011710589845684884,0.009317799299535138,0.000125,26.18609019998985
29,0.009545856947291794,0.009102199421116583,0.000125,22.78669040001114
30,0.012707798183251474,0.00930465424785436,0.000125,29.25084880000213
